bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
1.17112,1.17095,1.17112,1.17077,1.17119,1.17103,1.17118,1.17086,794
1.17095,1.17078,1.17101,1.17067,1.17103,1.17087,1.1711,1.17075,759
1.17078,1.1704,1.17083,1.1703,1.17087,1.17047,1.17092,1.17037,1084
1.1704,1.17033,1.17044,1.16989,1.17047,1.17041,1.17053,1.16997,825
1.17033,1.17055,1.17096,1.17033,1.17041,1.17063,1.17103,1.17042,1187
1.17055,1.17084,1.17099,1.1704,1.17063,1.17093,1.17109,1.17047,1198
1.17084,1.16973,1.17093,1.16973,1.17093,1.16982,1.17102,1.16981,1738
1.16973,1.16958,1.16984,1.1693,1.16982,1.16967,1.16992,1.16938,1858
1.16958,1.16938,1.16979,1.16923,1.16967,1.16945,1.16988,1.16931,1647
1.16938,1.16892,1.16941,1.1684,1.16945,1.16901,1.1695,1.16849,1679
1.16892,1.16896,1.16901,1.1686,1.16901,1.16904,1.1691,1.16869,1192
1.16896,1.16793,1.16896,1.16791,1.16904,1.16802,1.16905,1.16796,2117
1.16793,1.16733,1.168,1.16701,1.16802,1.16742,1.1681,1.16711,3120
1.16733,1.16751,1.16771,1.16715,1.16742,1.1676,1.16781,1.16723,1905
1.16751,1.16761,1.16774,1.16712,1.1676,1.1677,1.16783,1.1672,1510
1.16761,1.16686,1.16762,1.16675,1.1677,1.16695,1.1677,1.16683,1514
1.16686,1.1667,1.16689,1.16643,1.16695,1.16681,1.16698,1.16652,1834
1.1667,1.16688,1.16709,1.16658,1.16681,1.16697,1.16717,1.16667,1569
1.16688,1.16705,1.16734,1.16671,1.16697,1.16749,1.16758,1.1668,2213
1.16705,1.1668,1.16739,1.16473,1.16749,1.16691,1.1676,1.16484,7986
1.1668,1.16846,1.16875,1.16643,1.16691,1.16856,1.16885,1.16652,6000
1.16846,1.16785,1.1685,1.16733,1.16856,1.16795,1.16857,1.16742,5840
1.16785,1.16679,1.16809,1.16679,1.16795,1.16689,1.16819,1.16689,2725
1.16679,1.16705,1.16742,1.16625,1.16689,1.16715,1.16752,1.16633,3300
1.16705,1.16577,1.16715,1.16556,1.16715,1.16586,1.16725,1.16564,3219
1.16577,1.16654,1.16686,1.16534,1.16586,1.16665,1.16694,1.16542,3845
1.16654,1.16728,1.16744,1.16635,1.16665,1.16739,1.16754,1.16643,2995
1.16728,1.16749,1.16792,1.16704,1.16739,1.16757,1.16802,1.16713,3353
1.16749,1.16773,1.16793,1.16716,1.16757,1.16782,1.16801,1.16726,2319
1.16773,1.16725,1.16817,1.16724,1.16782,1.16733,1.16825,1.16732,2412
1.16725,1.16818,1.16829,1.167,1.16733,1.16826,1.16837,1.1671,2602
1.16818,1.1677,1.16832,1.16751,1.16826,1.16777,1.16839,1.16759,2739
1.1677,1.16781,1.16825,1.16751,1.16777,1.16791,1.16835,1.16761,2968
1.16781,1.16768,1.16817,1.16746,1.16791,1.16776,1.16827,1.16755,2374
1.16768,1.16727,1.1681,1.16708,1.16776,1.16735,1.1682,1.16716,2766
1.16727,1.16753,1.1682,1.16719,1.16735,1.16763,1.1683,1.16729,2665
1.16753,1.16706,1.16758,1.16696,1.16763,1.16719,1.16766,1.16706,2373
1.16706,1.16756,1.16763,1.16651,1.16719,1.16765,1.16772,1.1666,3712
1.16756,1.1669,1.16783,1.16676,1.16765,1.167,1.16792,1.16685,3217
1.1669,1.16472,1.16696,1.16443,1.167,1.16478,1.16705,1.16454,5840
1.16472,1.16441,1.16509,1.16173,1.16478,1.1645,1.1652,1.16182,8726
1.16441,1.16596,1.16619,1.1644,1.1645,1.16607,1.16629,1.1645,5019
1.16596,1.1657,1.16662,1.16554,1.16607,1.16581,1.16674,1.16563,3415
1.1657,1.16565,1.16609,1.16501,1.16581,1.16575,1.16618,1.1651,3065
1.16565,1.16581,1.16606,1.16507,1.16575,1.16592,1.16615,1.16515,3002
1.16581,1.16451,1.16583,1.16446,1.16592,1.16461,1.16592,1.16456,3128
1.16451,1.16526,1.16569,1.16452,1.16461,1.16536,1.16578,1.16461,2922
1.16526,1.16595,1.16605,1.16526,1.16536,1.16605,1.16614,1.16535,2324
1.16595,1.16632,1.16634,1.16565,1.16605,1.16641,1.16643,1.16575,3018
1.16632,1.16643,1.16654,1.16606,1.16641,1.1665,1.16662,1.16614,2669
1.16643,1.16651,1.16674,1.16632,1.1665,1.1666,1.16683,1.16639,1811
